acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,decade
0.974,0.529,0.326,0.0,0.122,0.7892,0.0771,0.7023,0.934,1930
0.915,0.469,0.569,0.381,0.116,0.7542,0.0778,0.5697,0.767,1930
0.989,0.742,0.181,0.0123,0.162,0.652,0.104,0.5153,0.689,1930
0.995,0.534,0.232,0.0005,0.235,0.7746,0.081,0.3008,0.409,1930
0.995,0.345,0.395,0.192,0.342,0.767,0.0353,0.5178,0.653,1930
0.984,0.4,0.19,0.9,0.182,0.7507,0.0492,0.333,0.402,1930
0.983,0.567,0.547,0.921,0.113,0.7375,0.0433,0.4416,0.929,1930
0.991,0.274,0.505,0.0001,0.29,0.8099,0.0348,0.4479,0.617,1930
0.965,0.436,0.452,0.43,0.44,0.8031,0.104,0.2901,0.504,1930
0.97,0.683,0.578,0.0001,0.227,0.925,0.112,0.5742,0.881,1930
0.68,0.571,0.543,0.0,0.477,0.7981,0.0868,0.4175,0.734,1930
0.996,0.361,0.281,0.918,0.319,0.7172,0.0577,0.275,0.597,1930
0.987,0.379,0.315,0.0031,0.369,0.7865,0.0525,0.3992,0.551,1930
0.995,0.469,0.175,0.972,0.105,0.6753,0.0685,0.3214,0.318,1930
0.988,0.494,0.247,0.511,0.151,0.7464,0.0441,0.4662,0.563,1930
0.995,0.617,0.166,0.589,0.107,0.7295,0.326,0.5285,0.616,1930
0.991,0.392,0.316,0.0016,0.378,0.7885,0.0388,0.4613,0.455,1930
0.986,0.513,0.278,0.0,0.666,0.7815,0.0566,0.4551,0.631,1930
0.993,0.613,0.311,0.15,0.134,0.764,0.0451,0.4901,0.961,1930
0.995,0.396,0.535,0.484,0.396,0.8446,0.0501,0.5647,0.54,1930
0.988,0.475,0.445,0.0191,0.366,0.7656,0.042,0.3304,0.796,1930
0.981,0.533,0.205,0.943,0.107,0.6438,0.0676,0.4693,0.712,1930
0.984,0.852,0.375,0.1,0.246,0.8412,0.135,0.4799,0.891,1930
0.989,0.439,0.0716,0.0,0.122,0.628,0.0753,0.3158,0.23,1930
0.994,0.27,0.146,0.0001,0.121,0.6802,0.0647,0.3047,0.255,1930
0.747,0.632,0.197,0.0,0.186,0.6822,0.962,0.6791,0.37,1930
0.923,0.499,0.0405,0.0012,0.578,0.6844,0.0457,0.5642,0.839,1930
0.565,0.722,0.252,0.0,0.169,0.7105,0.938,0.5164,0.456,1930
0.701,0.709,0.169,0.0,0.352,0.6136,0.95,0.5275,0.449,1930
0.492,0.626,0.225,0.0,0.164,0.6794,0.949,0.7138,0.534,1930
0.979,0.595,0.587,0.908,0.274,0.8468,0.0405,0.4459,0.949,1930
