acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,decade
0.995,0.708,0.195,0.563,0.151,0.745,0.0506,0.4853,0.779,1920
0.994,0.379,0.0135,0.901,0.0763,0.494,0.0462,0.344,0.0767,1920
0.604,0.749,0.22,0.0,0.119,0.6276,0.929,0.4391,0.88,1920
0.995,0.781,0.13,0.887,0.111,0.7089,0.0926,0.4425,0.72,1920
0.99,0.21,0.204,0.908,0.098,0.6761,0.0424,0.2546,0.0693,1920
0.995,0.424,0.12,0.911,0.0915,0.6383,0.0593,0.2602,0.266,1920
0.956,0.444,0.197,0.435,0.0744,0.6699,0.04,0.3298,0.305,1920
0.988,0.555,0.421,0.836,0.105,0.7849,0.0474,0.5052,0.857,1920
0.995,0.683,0.207,0.206,0.337,0.7861,0.127,0.4909,0.493,1920
0.846,0.674,0.205,0.0,0.17,0.6246,0.954,0.3329,0.759,1920
0.994,0.376,0.0719,0.883,0.196,0.5975,0.0352,0.5793,0.0393,1920
0.989,0.17,0.0823,0.911,0.0962,0.4681,0.0317,0.3523,0.346,1920
0.99,0.359,0.0435,0.899,0.109,0.613,0.0424,0.3959,0.042,1920
0.992,0.311,0.0107,0.883,0.0954,0.3814,0.0556,0.3236,0.216,1920
0.977,0.335,0.105,0.84,0.231,0.6883,0.0716,0.3286,0.406,1920
0.991,0.319,0.0059,0.0001,0.0691,0.5358,0.051,0.3271,0.169,1920
0.996,0.319,0.155,0.917,0.126,0.6463,0.036,0.2743,0.0488,1920
0.994,0.787,0.156,0.659,0.11,0.7195,0.157,0.48,0.849,1920
0.993,0.569,0.15,0.0015,0.106,0.701,0.0474,0.3152,0.596,1920
0.992,0.763,0.132,0.0693,0.112,0.736,0.0886,0.4575,0.832,1920
0.993,0.352,0.132,0.966,0.425,0.5763,0.0381,0.3062,0.661,1920
0.99,0.833,0.132,0.0006,0.0957,0.7653,0.295,0.4989,0.568,1920
0.975,0.277,0.09,0.949,0.125,0.5295,0.0316,0.4303,0.168,1920
0.99,0.811,0.175,0.841,0.13,0.726,0.0712,0.472,0.933,1920
0.988,0.699,0.221,0.0725,0.142,0.7481,0.115,0.483,0.782,1920
0.988,0.54,0.102,0.0,0.0819,0.649,0.0792,0.3012,0.433,1920
0.99,0.569,0.327,0.947,0.134,0.7263,0.0499,0.339,0.562,1920
0.991,0.38,0.119,0.89,0.0601,0.6068,0.0389,0.5408,0.18,1920
0.993,0.28,0.0436,0.885,0.0865,0.5331,0.0393,0.3322,0.182,1920
0.686,0.715,0.22,0.0,0.206,0.6297,0.948,0.4638,0.545,1920
0.995,0.767,0.23,0.605,0.133,0.7716,0.199,0.4916,0.868,1920
0.995,0.531,0.124,0.0168,0.118,0.5756,0.0711,0.4175,0.555,1920
0.422,0.662,0.606,0.915,0.0594,0.8296,0.0376,0.4588,0.645,1920
0.987,0.238,0.0324,0.001,0.112,0.5581,0.0541,0.706,0.0379,1920
0.983,0.668,0.261,0.0232,0.122,0.6748,0.101,0.4939,0.702,1920
0.989,0.769,0.442,0.0,0.167,0.7408,0.273,0.5413,0.934,1920
0.994,0.801,0.113,0.206,0.129,0.7494,0.0837,0.4796,0.672,1920
0.994,0.854,0.151,0.371,0.159,0.7648,0.137,0.452,0.781,1920
0.708,0.677,0.204,0.0,0.104,0.626,0.957,0.3475,0.667,1920
0.777,0.738,0.282,0.0,0.29,0.6804,0.952,0.5761,0.703,1920
0.977,0.305,0.083,0.697,0.231,0.6124,0.0331,0.3303,0.0479,1920
0.993,0.372,0.0945,0.941,0.189,0.584,0.0317,0.2426,0.0791,1920
0.99,0.337,0.0699,0.903,0.106,0.5668,0.0322,0.2955,0.135,1920
0.995,0.729,0.191,0.455,0.103,0.6998,0.108,0.4612,0.902,1920
0.826,0.726,0.249,0.0,0.173,0.6762,0.952,0.4604,0.559,1920
0.662,0.631,0.23,0.0,0.145,0.6387,0.959,0.3417,0.595,1920
0.985,0.81,0.3,0.0009,0.13,0.7877,0.289,0.4738,0.806,1920
0.985,0.355,0.0452,0.825,0.153,0.5618,0.0329,0.3464,0.276,1920
0.461,0.733,0.613,0.951,0.122,0.8026,0.0383,0.504,0.26,1920
0.993,0.303,0.226,0.826,0.119,0.6032,0.0444,0.2745,0.146,1920
0.995,0.319,0.0022,0.937,0.0791,0.3617,0.0412,0.3216,0.229,1920
0.992,0.468,0.0184,0.912,0.103,0.5045,0.0447,0.2433,0.235,1920
0.992,0.698,0.192,0.0058,0.243,0.668,0.128,0.3204,0.681,1920
0.993,0.836,0.207,0.522,0.321,0.7902,0.152,0.4604,0.595,1920
0.992,0.233,0.113,0.879,0.161,0.6534,0.0397,0.2625,0.0642,1920
0.993,0.641,0.192,0.5,0.593,0.6905,0.04,0.4345,0.704,1920
0.995,0.461,0.195,0.886,0.0969,0.7038,0.0609,0.3131,0.844,1920
0.989,0.222,0.0113,0.954,0.0873,0.4194,0.043,0.3033,0.0917,1920
0.991,0.431,0.315,0.883,0.108,0.599,0.0464,0.2693,0.711,1920
0.991,0.839,0.37,0.0419,0.104,0.7579,0.08,0.4714,0.976,1920
0.991,0.829,0.199,0.0,0.119,0.7956,0.0619,0.4761,0.681,1920
0.99,0.709,0.148,0.0262,0.131,0.6431,0.0775,0.5015,0.516,1920
0.872,0.571,0.204,0.779,0.197,0.6482,0.0328,0.5297,0.0932,1920
0.991,0.808,0.215,0.524,0.0906,0.7485,0.0851,0.4543,0.866,1920
0.989,0.368,0.124,0.892,0.105,0.5991,0.0371,0.5261,0.266,1920
0.732,0.72,0.286,0.0,0.292,0.6912,0.939,0.4673,0.695,1920
0.991,0.317,0.0916,0.918,0.104,0.4591,0.0411,0.3308,0.511,1920
0.947,0.333,0.146,0.0004,0.265,0.6736,0.0353,0.3088,0.234,1920
0.986,0.613,0.187,0.804,0.111,0.721,0.255,0.4766,0.3,1920
0.977,0.757,0.49,0.043,0.0885,0.7956,0.035,0.4332,0.836,1920
0.974,0.188,0.0891,0.896,0.124,0.5335,0.0326,0.2456,0.164,1920
0.989,0.858,0.249,0.0001,0.181,0.8003,0.224,0.4747,0.611,1920
0.989,0.441,0.0454,0.0752,0.0801,0.5969,0.0463,0.5468,0.194,1920
0.996,0.675,0.127,0.0311,0.102,0.6012,0.226,0.5309,0.516,1920
0.987,0.242,0.149,0.877,0.134,0.5208,0.0369,0.3613,0.279,1920
0.99,0.444,0.0431,0.889,0.124,0.5204,0.041,0.4345,0.404,1920
0.725,0.791,0.234,0.0,0.152,0.6585,0.947,0.154,0.705,1920
0.99,0.272,0.281,0.867,0.087,0.6855,0.0365,0.4067,0.0775,1920
0.993,0.466,0.161,0.764,0.118,0.7359,0.0576,0.3082,0.447,1920
0.989,0.28,0.0463,0.873,0.0743,0.6299,0.0347,0.4102,0.0722,1920
0.995,0.389,0.263,0.914,0.128,0.7042,0.0354,0.3031,0.188,1920
0.993,0.523,0.0867,0.124,0.14,0.6651,0.0707,0.6624,0.697,1920
0.918,0.754,0.194,0.0,0.188,0.7574,0.053,0.3443,0.454,1920
0.992,0.301,0.0823,0.852,0.087,0.575,0.0382,0.5625,0.0548,1920
0.993,0.409,0.0224,0.908,0.13,0.6541,0.0441,0.5181,0.0655,1920
0.995,0.411,0.211,0.876,0.106,0.6824,0.0489,0.327,0.119,1920
0.992,0.266,0.242,0.915,0.154,0.6376,0.0314,0.3541,0.114,1920
0.777,0.748,0.295,0.0,0.122,0.6743,0.94,0.4688,0.717,1920
0.994,0.79,0.171,0.0562,0.116,0.7205,0.221,0.4984,0.856,1920
0.995,0.579,0.33,0.94,0.108,0.6177,0.055,0.5512,0.89,1920
0.995,0.316,0.191,0.914,0.101,0.6852,0.0389,0.4479,0.18,1920
0.991,0.245,0.0577,0.882,0.0704,0.5484,0.0328,0.3032,0.105,1920
0.992,0.78,0.238,0.0355,0.108,0.7274,0.209,0.496,0.844,1920
0.995,0.449,0.169,0.832,0.0999,0.7362,0.0497,0.2719,0.413,1920
0.993,0.766,0.203,0.169,0.147,0.7808,0.0728,0.4769,0.692,1920
0.995,0.599,0.137,0.305,0.132,0.5897,0.161,0.5628,0.687,1920
0.994,0.615,0.205,0.913,0.113,0.7229,0.0618,0.2388,0.752,1920
0.996,0.278,0.0049,0.932,0.0954,0.4472,0.0407,0.332,0.0606,1920
0.996,0.393,0.0545,0.829,0.328,0.5077,0.0366,0.2888,0.374,1920
0.105,0.699,0.838,0.909,0.128,0.75,0.0462,0.508,0.481,1920
0.478,0.462,0.512,0.0,0.0993,0.8544,0.0334,0.4671,0.29,2020
0.0004,0.478,0.574,0.0072,0.157,0.8005,0.0606,0.2949,0.187,2020
0.301,0.715,0.665,0.0,0.123,0.8537,0.0381,0.4466,0.593,2020
0.468,0.527,0.538,0.0,0.0825,0.8232,0.104,0.4806,0.389,2020
0.183,0.827,0.629,0.0,0.084,0.8775,0.185,0.3608,0.486,2020
0.0567,0.546,0.608,0.0,0.0664,0.8416,0.209,0.4016,0.37,2020
0.762,0.415,0.472,0.0741,0.111,0.7642,0.0889,0.4929,0.34,2020
0.618,0.714,0.454,0.0,0.0586,0.8003,0.166,0.7191,0.81,2020
0.0151,0.639,0.63,0.0374,0.0959,0.8441,0.0325,0.5148,0.218,2020
0.373,0.467,0.879,0.0,0.274,0.8712,0.483,0.7079,0.795,2020
0.0294,0.801,0.635,0.0,0.145,0.8406,0.243,0.635,0.63,2020
0.178,0.654,0.795,0.0,0.19,0.8704,0.0536,0.4917,0.465,2020
0.734,0.617,0.451,0.0,0.128,0.8442,0.0481,0.4497,0.161,2020
0.576,0.925,0.222,0.0,0.116,0.6987,0.421,0.5116,0.633,2020
0.832,0.42,0.701,0.0,0.103,0.8209,0.339,0.3266,0.671,2020
0.0564,0.723,0.726,0.0001,0.057,0.8796,0.0472,0.4099,0.962,2020
0.0519,0.538,0.678,0.0,0.119,0.8518,0.381,0.2886,0.524,2020
0.337,0.528,0.595,0.0,0.389,0.7775,0.281,0.5342,0.36,2020
0.253,0.529,0.612,0.0,0.246,0.8019,0.052,0.4886,0.434,2020
0.313,0.679,0.533,0.0336,0.171,0.8072,0.0766,0.3421,0.521,2020
0.191,0.537,0.68,0.0018,0.0889,0.8723,0.0333,0.4998,0.0889,2020
0.306,0.844,0.574,0.0,0.11,0.8631,0.382,0.6475,0.476,2020
0.665,0.906,0.632,0.0,0.084,0.8743,0.198,0.5654,0.339,2020
0.0106,0.622,0.784,0.0089,0.104,0.8796,0.0292,0.4789,0.78,2020
0.0879,0.868,0.656,0.0032,0.14,0.8366,0.0351,0.4711,0.793,2020
0.0151,0.693,0.678,0.0,0.101,0.8275,0.0324,0.4259,0.404,2020
0.0883,0.677,0.878,0.0,0.154,0.8849,0.213,0.3689,0.227,2020
0.111,0.433,0.614,0.0001,0.141,0.8207,0.0499,0.7323,0.233,2020
0.0358,0.794,0.762,0.0,0.191,0.8844,0.0392,0.4505,0.482,2020
0.374,0.789,0.809,0.0,0.202,0.8861,0.0615,0.393,0.411,2020
0.0352,0.967,0.772,0.0,0.0792,0.8881,0.0851,0.5408,0.856,2020
0.344,0.832,0.431,0.0,0.114,0.786,0.197,0.3343,0.847,2020
0.0091,0.385,0.871,0.0,0.579,0.8675,0.0795,0.7774,0.538,2020
0.15,0.611,0.649,0.0,0.105,0.8305,0.058,0.5039,0.353,2020
0.393,0.595,0.816,0.0,0.112,0.8598,0.308,0.3413,0.665,2020
0.0755,0.31,0.416,0.0,0.18,0.7763,0.0346,0.5323,0.207,2020
0.46,0.591,0.659,0.0,0.324,0.8541,0.0332,0.5981,0.622,2020
0.267,0.739,0.641,0.803,0.103,0.7458,0.0538,0.381,0.713,2020
0.0608,0.582,0.921,0.0,0.137,0.8781,0.0457,0.5367,0.686,2020
0.126,0.683,0.97,0.0,0.105,0.8834,0.0489,0.5897,0.769,2020
0.46,0.591,0.659,0.0,0.324,0.8541,0.0332,0.5981,0.622,2020
0.0453,0.619,0.753,0.0,0.0942,0.85,0.0398,0.5897,0.606,2020
0.11,0.475,0.846,0.0,0.24,0.9167,0.0625,0.6317,0.381,2020
0.212,0.489,0.554,0.0,0.088,0.8075,0.183,0.3547,0.331,2020
0.17,0.789,0.564,0.0,0.138,0.7907,0.166,0.598,0.52,2020
0.0858,0.643,0.769,0.0,0.205,0.8843,0.0877,0.7607,0.532,2020
0.135,0.779,0.362,0.206,0.111,0.7698,0.0474,0.3483,0.46,2020
0.0304,0.58,0.804,0.0036,0.105,0.8673,0.0279,0.5162,0.137,2020
0.0258,0.847,0.637,0.0006,0.382,0.8583,0.367,0.68,0.511,2020
0.929,0.385,0.371,0.0,0.147,0.8501,0.0476,0.3681,0.285,2020
0.038,0.864,0.613,0.0,0.123,0.8378,0.781,0.6148,0.169,2020
0.157,0.652,0.798,0.0,0.118,0.8559,0.333,0.6959,0.608,2020
0.25,0.651,0.561,0.0001,0.435,0.8501,0.25,0.721,0.369,2020
0.466,0.579,0.565,0.0,0.226,0.8316,0.418,0.344,0.631,2020
0.558,0.653,0.418,0.0003,0.562,0.782,0.288,0.3972,0.122,2020
0.202,0.606,0.716,0.0,0.355,0.8596,0.052,0.3031,0.579,2020
0.0387,0.72,0.767,0.0,0.202,0.8482,0.214,0.3645,0.595,2020
0.215,0.519,0.503,0.0,0.148,0.8419,0.0442,0.3653,0.364,2020
0.0415,0.857,0.69,0.0,0.0942,0.8696,0.0437,0.4961,0.799,2020
0.479,0.877,0.529,0.0016,0.094,0.842,0.0461,0.4301,0.422,2020
0.235,0.665,0.621,0.0,0.107,0.7423,0.238,0.6631,0.389,2020
0.124,0.663,0.686,0.0,0.112,0.8684,0.0304,0.4587,0.444,2020
0.0471,0.658,0.765,0.0,0.0936,0.83,0.0469,0.4915,0.222,2020
0.0688,0.728,0.656,0.0,0.17,0.8511,0.416,0.6386,0.817,2020
0.0218,0.789,0.832,0.0,0.0849,0.882,0.0615,0.4098,0.597,2020
0.327,0.447,0.636,0.0,0.0834,0.8133,0.0473,0.2789,0.866,2020
0.138,0.626,0.592,0.0003,0.0957,0.8287,0.147,0.7281,0.65,2020
0.115,0.664,0.743,0.0,0.34,0.8282,0.206,0.6632,0.534,2020
0.201,0.81,0.82,0.0,0.13,0.8849,0.0698,0.381,0.672,2020
0.313,0.613,0.537,0.0,0.0741,0.8097,0.0513,0.4286,0.796,2020
0.356,0.63,0.826,0.0,0.136,0.8645,0.0449,0.4754,0.239,2020
0.0006,0.929,0.563,0.0,0.244,0.8233,0.49,0.5324,0.353,2020
0.022,0.667,0.636,0.0,0.0908,0.8508,0.082,0.6475,0.152,2020
0.0088,0.866,0.645,0.0,0.124,0.8402,0.144,0.4098,0.542,2020
0.006,0.628,0.571,0.0001,0.0833,0.8786,0.0631,0.4912,0.465,2020
0.0007,0.461,0.866,0.0,0.371,0.8835,0.152,0.6965,0.716,2020
0.0481,0.892,0.486,0.0,0.146,0.8044,0.384,0.4957,0.529,2020
0.452,0.532,0.455,0.0,0.237,0.8086,0.156,0.6071,0.204,2020
0.386,0.66,0.631,0.0,0.16,0.8384,0.0764,0.5654,0.416,2020
0.447,0.851,0.502,0.0,0.107,0.781,0.336,0.5734,0.893,2020
0.0229,0.888,0.684,0.0,0.458,0.84,0.265,0.3482,0.532,2020
0.215,0.793,0.531,0.0,0.105,0.8022,0.0967,0.5674,0.591,2020
0.0932,0.616,0.537,0.0002,0.107,0.8187,0.139,0.5025,0.465,2020
0.162,0.775,0.757,0.0,0.148,0.8748,0.175,0.5856,0.562,2020
0.542,0.755,0.614,0.0088,0.0937,0.7912,0.0548,0.5081,0.148,2020
0.167,0.512,0.594,0.0,0.175,0.8531,0.0467,0.5075,0.592,2020
0.157,0.686,0.824,0.0,0.242,0.8549,0.34,0.6968,0.405,2020
0.234,0.489,0.62,0.0,0.312,0.7749,0.272,0.2887,0.308,2020
0.0833,0.633,0.687,0.0,0.103,0.8604,0.0726,0.6556,0.486,2020
0.0833,0.77,0.606,0.0,0.0947,0.8101,0.306,0.6556,0.463,2020
0.41,0.766,0.485,0.0,0.102,0.8464,0.0349,0.5121,0.522,2020
0.0587,0.713,0.77,0.0005,0.339,0.8648,0.101,0.3604,0.684,2020
0.203,0.871,0.555,0.0,0.118,0.8462,0.248,0.5325,0.248,2020
0.0476,0.787,0.525,0.0,0.601,0.7951,0.146,0.549,0.366,2020
0.16,0.893,0.768,0.0,0.204,0.8916,0.29,0.5738,0.751,2020
0.021,0.585,0.781,0.0002,0.627,0.88,0.0457,0.475,0.336,2020
0.438,0.774,0.603,0.0,0.0869,0.825,0.0591,0.6145,0.977,2020
0.0736,0.702,0.608,0.0,0.129,0.8325,0.0359,0.3073,0.597,2020
0.477,0.602,0.5,0.0001,0.295,0.7928,0.296,0.5441,0.395,2020
0.299,0.759,0.55,0.0,0.112,0.8397,0.0515,0.4714,0.361,2020
0.993,0.817,0.333,0.467,0.278,0.8109,0.145,0.4691,0.903,1920
0.995,0.695,0.112,0.604,0.112,0.603,0.172,0.2911,0.497,1920
0.996,0.439,0.0687,0.852,0.122,0.5293,0.072,0.5804,0.48,1920
0.992,0.841,0.252,0.133,0.109,0.7438,0.132,0.4607,0.755,1920
0.99,0.643,0.134,0.0118,0.143,0.7811,0.0645,0.5016,0.811,1920
0.994,0.243,0.135,0.874,0.147,0.6093,0.0344,0.3284,0.372,1920
0.988,0.88,0.113,0.0008,0.103,0.7791,0.0708,0.4712,0.804,1920
0.993,0.227,0.0227,0.905,0.924,0.5561,0.0363,0.2688,0.0825,1920
0.995,0.359,0.0136,0.932,0.0918,0.476,0.0393,0.5827,0.118,1920
0.994,0.793,0.0412,0.436,0.113,0.6019,0.125,0.4542,0.559,1920
0.724,0.718,0.147,0.0,0.199,0.6263,0.947,0.4807,0.758,1920
0.99,0.325,0.0481,0.902,0.694,0.4835,0.0352,0.3504,0.413,1920
0.994,0.857,0.201,0.317,0.161,0.7542,0.255,0.476,0.928,1920
0.989,0.611,0.147,0.0,0.149,0.6844,0.117,0.3712,0.658,1920
0.992,0.736,0.254,0.0001,0.216,0.6728,0.0709,0.4574,0.777,1920
0.993,0.303,0.226,0.826,0.119,0.6032,0.0444,0.2745,0.146,1920
0.994,0.625,0.161,0.218,0.178,0.7897,0.056,0.462,0.572,1920
0.995,0.667,0.224,0.0728,0.159,0.6756,0.0866,0.5631,0.735,1920
0.991,0.265,0.185,0.89,0.181,0.6578,0.0375,0.4028,0.281,1920
0.989,0.749,0.203,0.0214,0.226,0.7546,0.142,0.48,0.927,1920
0.995,0.689,0.156,0.0252,0.112,0.6187,0.267,0.5342,0.826,1920
0.98,0.308,0.445,0.887,0.359,0.6685,0.0273,0.4577,0.382,1920
0.652,0.695,0.258,0.0,0.165,0.663,0.953,0.4227,0.488,1920
0.994,0.295,0.138,0.876,0.112,0.6643,0.0374,0.3158,0.101,1920
0.995,0.319,0.0022,0.937,0.0791,0.3617,0.0412,0.3216,0.229,1920
0.992,0.733,0.229,0.73,0.133,0.7904,0.0711,0.4982,0.765,1920
0.994,0.551,0.201,0.923,0.108,0.7134,0.0601,0.4968,0.701,1920
0.992,0.877,0.153,0.0081,0.108,0.7593,0.0556,0.4649,0.852,1920
0.994,0.792,0.147,0.339,0.108,0.7679,0.0828,0.4672,0.874,1920
0.995,0.381,0.0281,0.891,0.057,0.5368,0.0388,0.3665,0.0532,1920
0.121,0.291,0.945,0.303,0.41,0.8432,0.0481,0.753,0.693,1920
0.992,0.301,0.0823,0.852,0.087,0.575,0.0382,0.5625,0.0548,1920
0.995,0.442,0.34,0.824,0.183,0.7295,0.104,0.2972,0.123,1920
0.985,0.599,0.164,0.0046,0.142,0.6497,0.148,0.5531,0.711,1920
0.941,0.751,0.19,0.0148,0.101,0.6791,0.193,0.4916,0.561,1920
0.95,0.815,0.411,0.582,0.138,0.7679,0.0427,0.4356,0.842,1920
0.221,0.546,0.781,0.894,0.623,0.8174,0.0326,0.4902,0.789,1920
0.994,0.641,0.149,0.0156,0.355,0.6967,0.0457,0.4563,0.624,1920
0.993,0.29,0.124,0.903,0.13,0.663,0.0382,0.2933,0.113,1920
0.625,0.699,0.256,0.0,0.116,0.6591,0.953,0.4054,0.652,1920
0.989,0.356,0.0893,0.901,0.0941,0.6162,0.0633,0.307,0.101,1920
0.992,0.779,0.254,0.479,0.162,0.8052,0.253,0.4635,0.758,1920
0.989,0.222,0.0113,0.954,0.0873,0.4194,0.043,0.3033,0.0917,1920
0.93,0.417,0.125,0.0025,0.171,0.6592,0.0338,0.3975,0.474,1920
0.995,0.389,0.047,0.903,0.0836,0.6153,0.0512,0.3156,0.0862,1920
0.974,0.343,0.187,0.539,0.673,0.651,0.0337,0.3378,0.0457,1920
0.99,0.618,0.18,0.96,0.183,0.7159,0.0402,0.4925,0.802,1920
0.797,0.715,0.29,0.0,0.109,0.6651,0.958,0.318,0.59,1920
0.987,0.305,0.0999,0.0436,0.13,0.6283,0.0519,0.8759,0.452,1920
0.988,0.632,0.345,0.905,0.219,0.7424,0.0448,0.4987,0.804,1920
0.978,0.393,0.2,0.839,0.189,0.6503,0.0309,0.3928,0.399,1920
0.656,0.71,0.303,0.0,0.166,0.6211,0.948,0.5169,0.45,1920
